42.3643783,-71.0585683
42.3643744507,-71.0585639337
42.3643705998,-71.0585595658
42.364366746,-71.0585551949
42.3643628896,-71.0585508203
42.3643590319,-71.0585464441
42.3643551748,-71.0585420699
42.3643513205,-71.0585376996
42.3643474702,-71.0585333345
42.3643436244,-71.0585289754
42.3643397805,-71.0585246193
42.3643359366,-71.0585202644
42.3643320947,-71.0585159116
42.3643282594,-71.0585115661
42.3643244321,-71.0585072293
42.3643206089,-71.0585028971
42.3643167877,-71.0584985659
42.3643129664,-71.0584942341
42.3643091489,-71.0584899063
42.3643053378,-71.058485586
42.3643015312,-71.0584812709
42.3642977266,-71.0584769593
42.3642939234,-71.0584726489
42.3642901174,-71.0584683351
42.3642863057,-71.0584640154
42.364282493,-71.0584596926
42.3642786827,-71.0584553714
42.3642748717,-71.0584510489
42.3642710579,-71.0584467224
42.3642672423,-71.0584423923
42.3642634251,-71.0584380592
42.3642596076,-71.0584337242
42.3642557891,-71.0584293868
42.3642519682,-71.0584250449
42.3642481448,-71.0584206993
42.3642443206,-71.0584163517
42.3642404955,-71.0584120019
42.3642366679,-71.0584076481
42.3642328383,-71.0584032904
42.3642290075,-71.0583989299
42.3642251749,-71.0583945661
42.3642213397,-71.0583901981
42.3642175038,-71.058385828
42.3642136683,-71.0583814571
42.3642098327,-71.0583770849
42.3642059967,-71.0583727108
42.3642021608,-71.0583683352
42.3641983255,-71.0583639584
42.3641944898,-71.0583595798
42.3641906529,-71.0583551982
42.3641868149,-71.0583508134
42.3641829759,-71.058346426
42.3641791361,-71.0583420356
42.3641752949,-71.0583376414
42.3641714525,-71.0583332425
42.3641676097,-71.05832884
42.3641637669,-71.0583244338
42.3641599251,-71.0583200245
42.3641560859,-71.058315613
42.3641522483,-71.0583111983
42.3641484118,-71.0583067797
42.3641445773,-71.0583023582
42.3641407437,-71.058297932
42.3641369102,-71.0582934995
42.3641330767,-71.0582890613
42.3641292436,-71.0582846182
42.3641254106,-71.0582801694
42.3641215769,-71.0582757143
42.3641177436,-71.0582712543
42.3641139109,-71.0582667903
42.364110078,-71.0582623211
42.3641062452,-71.0582578471
42.3641024129,-71.058253369
42.3640985802,-71.058248886
42.3640947474,-71.0582443992
42.3640909157,-71.058239909
42.3640870839,-71.0582354145
42.3640832514,-71.0582309155
42.3640794184,-71.0582264124
42.3640755842,-71.0582219042
42.3640717479,-71.0582173904
42.3640679103,-71.0582128716
42.3640640722,-71.0582083497
42.3640602341,-71.0582038242
42.3640563951,-71.0581992945
42.3640525553,-71.0581947607
42.3640487146,-71.0581902227
42.3640448725,-71.0581856796
42.3640410291,-71.0581811316
42.3640371849,-71.0581765792
42.3640333402,-71.0581720232
42.3640294951,-71.0581674629
42.3640256493,-71.0581628986
42.3640218034,-71.0581583315
42.3640179569,-71.0581537616
42.3640141085,-71.0581491865
42.3640102571,-71.0581446052
42.3640064046,-71.05814002
42.3640025513,-71.0581354313
42.3639986974,-71.0581308383
42.3639948427,-71.0581262409
42.3639909869,-71.058121639
42.3639871307,-71.0581170336
42.3639832737,-71.0581124235
42.3639794151,-71.0581078075
42.3639755557,-71.0581031867
42.3639716963,-71.0580985626
42.3639678376,-71.058093935
42.3639639787,-71.0580893033
42.3639601198,-71.0580846678
42.3639562607,-71.0580800285
42.3639524005,-71.0580753832
42.3639485393,-71.0580707317
42.3639446783,-71.0580660745
42.363940818,-71.0580614125
42.3639369589,-71.0580567456
42.3639331008,-71.0580520725
42.3639292427,-71.0580473926
42.3639253856,-71.0580427067
42.3639215299,-71.0580380148
42.3639176744,-71.0580333152
42.3639138201,-71.0580286097
42.3639099678,-71.0580238998
42.3639061158,-71.0580191831
42.3639022636,-71.0580144591
