time,Speed (m/s)
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467247,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467248,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467249,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467250,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467251,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467252,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
1523467253,0
