time,lat(N),lon(E),alt
163152,4220.7883,-7103.7879,24.4
163153,4220.7883,-7103.7879,24.4
163154,4220.7883,-7103.7879,24.4
163155,4220.7883,-7103.7879,24.4
163156,4220.7883,-7103.7879,24.4
163157,4220.7882,-7103.7878,23.9
163158,4220.7875,-7103.7878,23.3
163159,4220.7861,-7103.7878,22.6
163200,4220.7841,-7103.7872,22.3
163201,4220.7819,-7103.7853,21.9
163202,4220.7799,-7103.7821,21.8
163203,4220.7781,-7103.7777,21.7
163204,4220.7766,-7103.7723,21.6
163205,4220.7751,-7103.7664,21.4
163206,4220.7736,-7103.76,21.2
163207,4220.772,-7103.7531,21
163208,4220.7703,-7103.7458,20.8
163209,4220.7687,-7103.7384,20.5
163210,4220.7671,-7103.7311,20.2
163211,4220.7656,-7103.724,19.9
163212,4220.7642,-7103.7173,19.7
163213,4220.7631,-7103.7112,19.5
163214,4220.7623,-7103.7062,19.4
163215,4220.7615,-7103.7024,19
163216,4220.7609,-7103.6997,18.7
163217,4220.7605,-7103.698,18.3
163218,4220.7602,-7103.6971,17.8
163219,4220.7598,-7103.6962,17.5
163220,4220.7594,-7103.6954,17
163221,4220.759,-7103.6946,16.7
163222,4220.7585,-7103.6937,16.4
163223,4220.7581,-7103.6929,16.1
163224,4220.7579,-7103.6925,15.9
163225,4220.7579,-7103.6922,15.7
163226,4220.7579,-7103.6921,15.8
163227,4220.7579,-7103.6922,15.8
163228,4220.7579,-7103.6922,15.8
163229,4220.7578,-7103.6922,15.8
163230,4220.7578,-7103.6922,15.9
163231,4220.7578,-7103.6922,15.9
163232,4220.7578,-7103.6922,15.9
163233,4220.7578,-7103.6922,15.9
163234,4220.7578,-7103.6921,15.8
163235,4220.7577,-7103.6911,15.7
163236,4220.7572,-7103.6891,15.6
163237,4220.7565,-7103.6865,15.6
163238,4220.7554,-7103.6837,15.7
163239,4220.7536,-7103.681,15.7
163240,4220.7509,-7103.679,15.6
163241,4220.7475,-7103.6782,15.5
163242,4220.7433,-7103.6784,15.3
163243,4220.7386,-7103.6796,14.9
163244,4220.7334,-7103.6814,14.4
163245,4220.7281,-7103.6834,13.9
163246,4220.7227,-7103.6856,13.5
163247,4220.7174,-7103.6877,13.2
163248,4220.7123,-7103.6897,12.8
163249,4220.7079,-7103.6915,12.6
163250,4220.7039,-7103.693,12.6
163251,4220.7003,-7103.6944,12.6
163252,4220.6973,-7103.6956,12.8
163253,4220.695,-7103.6966,13
163254,4220.6931,-7103.6976,13.4
163255,4220.6918,-7103.6984,13.8
163256,4220.6914,-7103.6987,14.2
163257,4220.6912,-7103.699,14.3
163258,4220.6912,-7103.6993,14.7
163259,4220.6907,-7103.6997,14.9
163300,4220.6894,-7103.7002,15
163301,4220.6871,-7103.7011,15.5
163302,4220.6842,-7103.7022,15.8
163303,4220.6809,-7103.7036,16.2
163304,4220.6772,-7103.7051,16.3
163305,4220.673,-7103.7069,16.8
163306,4220.6686,-7103.7088,17.2
163307,4220.6645,-7103.7106,17.3
163308,4220.6609,-7103.7121,17.2
163309,4220.6581,-7103.7134,17.1
163310,4220.6554,-7103.7147,17.3
163311,4220.6526,-7103.7158,17.6
163312,4220.65,-7103.7166,18.3
163313,4220.6478,-7103.7166,19.2
163314,4220.6457,-7103.7163,20
163315,4220.6444,-7103.7161,20.9
163316,4220.6435,-7103.7158,21.6
163317,4220.6426,-7103.7157,22.2
163318,4220.6422,-7103.7158,22.6
163319,4220.6424,-7103.7156,23.1
163320,4220.6432,-7103.7152,23.5
163321,4220.6446,-7103.7134,24
163322,4220.6443,-7103.7089,24.3
163323,4220.6412,-7103.7005,24.5
163324,4220.641,-7103.6936,24.8
163325,4220.6419,-7103.6877,25.1
163326,4220.6432,-7103.6823,25.1
163327,4220.6463,-7103.6766,25
163328,4220.6514,-7103.6673,25.4
163329,4220.6572,-7103.6549,26.1
163330,4220.6646,-7103.6459,25.7
163331,4220.6715,-7103.6379,25.2
163332,4220.6787,-7103.6281,25.8
163333,4220.6852,-7103.6178,23.6
163334,4220.6925,-7103.6087,22.9
163335,4220.6999,-7103.5993,23.1
163336,4220.7078,-7103.591,22.8
163337,4220.7162,-7103.5831,22.6
163338,4220.7249,-7103.5761,22.9
163339,4220.7337,-7103.5701,23
163340,4220.7425,-7103.5644,23.3
163341,4220.7513,-7103.5588,23.3
163342,4220.7599,-7103.5531,23.2
163343,4220.7685,-7103.5473,22.8
163344,4220.777,-7103.5414,22.1
163345,4220.7858,-7103.5354,21.1
163346,4220.7947,-7103.5292,19.8
163347,4220.8039,-7103.5226,18.2
163348,4220.8132,-7103.5157,16.5
163349,4220.8227,-7103.5086,15
163350,4220.8323,-7103.5014,13.7
163351,4220.842,-7103.4942,12.4
163352,4220.8518,-7103.4871,11.2
163353,4220.8617,-7103.4801,9.8
163354,4220.8714,-7103.4734,8.6
163355,4220.8808,-7103.4671,7.5
163356,4220.8902,-7103.4611,6.4
163357,4220.8997,-7103.4552,5.3
163358,4220.9088,-7103.4496,4.4
163359,4220.9177,-7103.445,3.6
163400,4220.9266,-7103.4407,2.9
163401,4220.9355,-7103.4363,2
163402,4220.9444,-7103.4319,1.1
163403.076,4220.9541,-7103.4272,0.2
163404.076,4220.963,-7103.4229,-0.6
163405.076,4220.9719,-7103.4185,-1.5
163406.076,4220.9809,-7103.4141,-2.4
163407.076,4220.9898,-7103.4097,-3.2
163408.076,4220.9988,-7103.4054,-4.1
163409.076,4221.0077,-7103.401,-4.9
163410.076,4221.0166,-7103.3966,-5.8
163411.076,4221.0256,-7103.3922,-6.7
163412.077,4221.0345,-7103.3879,-7.5
163413.077,4221.0435,-7103.3835,-8.4
163414.077,4221.0524,-7103.3791,-9.2
163415.077,     NaN,     NaN,     NaN
